name                ;  RA_ICRS ;   DE_ICRS;    dist;  e_dist;     age;   e_age;     FeH;   e_FeH;      Av;    e_Av;      Nc; 
UBC_366             ;  299.8455;   37.2220;    1725;      59;   8.651;   0.046;   0.053;   0.045;   0.975;   0.062;     210; 
UBC_389             ;  338.3499;   58.3660;    2092;      40;   8.068;   0.193;   0.024;   0.047;   1.641;   0.049;     216; 
UPK_333             ;   61.8616;   44.1378;     614;      25;   8.835;   0.174;  -0.168;   0.039;   1.277;   0.094;     219; 
UBC_663             ;  182.7202;  -63.6304;    2190;      77;   7.278;   0.121;   0.043;   0.081;   1.085;   0.071;     194; 
Gulliver_35         ;  150.3452;  -58.1981;    2025;      51;   8.091;   0.223;   0.058;   0.061;   1.342;   0.064;     217; 
UFMG_47             ;  253.0177;  -47.3961;    2378;     150;   8.641;   0.689;   0.212;   0.101;   3.355;   0.133;     219; 
FSR_1211            ;  115.3384;   -9.6070;    3074;     486;   9.105;   0.723;   0.027;   0.188;   0.033;   0.003;     225; 
NGC_2225            ;   96.6476;   -9.6390;    2889;     141;   9.095;   0.044;  -0.199;   0.036;   1.630;   0.056;     224; 
COIN-Gaia_24        ;   90.6866;   23.2227;     953;      12;   8.252;   0.154;  -0.082;   0.029;   1.107;   0.044;     227; 
UBC_606             ;   37.4584;   57.3751;    2275;     122;   7.138;   0.080;  -0.150;   0.044;   2.236;   0.024;     223; 
FSR_0398            ;  339.0814;   64.1576;     913;      14;   7.244;   0.082;  -0.048;   0.127;   2.071;   0.035;     220; 
Ruprecht_29         ;  115.2818;  -24.3743;    1866;     133;   8.931;   0.142;   0.046;   0.125;   0.018;   0.010;     225; 
NGC_1901            ;   79.5948;  -68.4091;     416;       0;   8.887;   0.116;   0.030;   0.018;   0.208;   0.089;     202; 
UPK_526             ;  115.5406;  -52.9238;     561;       1;   7.580;   0.194;  -0.058;   0.059;   0.587;   0.057;     222; 
UBC_217             ;  108.2066;   -4.6989;    2342;      83;   8.860;   0.047;  -0.124;   0.026;   0.492;   0.055;     228; 
UBC_520             ;  186.0890;  -66.6655;    1868;      46;   8.750;   0.134;   0.016;   0.067;   1.567;   0.102;     203; 
Gulliver_45         ;  104.6096;    3.1125;    3145;     178;   9.630;   0.094;  -0.167;   0.036;   1.371;   0.092;     228; 
Hogg_10             ;  167.6822;  -60.3881;    2388;      99;   6.984;   0.106;  -0.019;   0.094;   1.482;   0.063;     213; 
